Roll Number,Block,Plan,Unit,Civic Address,Street Name,Zoning,Description Code,Description,Assessment Improvement Value,Assessment Land Value,Assessment Other Value,Assessment Year,Assessment Total Value,Poll Division,Poll Division Name,Voting Station,Latitude,Longitude
0312002646,312,C4456,204,119,MOYLE DR,,101,Residential,"170,850.00","6,770.00",0,2015,"177,620.00",2,Weledeh,École St. Patrick High School,62.46666386,-114.3730341
0312002645,312,C4456,203,119,MOYLE DR,,101,Residential,"170,890.00","6,770.00",0,2015,"177,660.00",2,Weledeh,École St. Patrick High School,62.46660243,-114.3729266
0312002644,312,C4456,202,119,MOYLE DR,,101,Residential,"170,890.00","6,770.00",0,2015,"177,660.00",2,Weledeh,École St. Patrick High School,62.46672162,-114.3726312
0312002643,312,C4456,201,119,MOYLE DR,,101,Residential,"170,230.00","6,770.00",0,2015,"177,000.00",2,Weledeh,École St. Patrick High School,62.46679189,-114.3727662
0312002642,312,C4456,104,119,MOYLE DR,,101,Residential,"197,890.00","6,770.00",0,2015,"204,660.00",2,Weledeh,École St. Patrick High School,62.46669799,-114.3730799
0312002641,312,C4456,103,119,MOYLE DR,,101,Residential,"197,850.00","6,770.00",0,2015,"204,620.00",2,Weledeh,École St. Patrick High School,62.46662692,-114.3729655
0312002640,312,C4456,102,119,MOYLE DR,,101,Residential,"197,850.00","6,770.00",0,2015,"204,620.00",2,Weledeh,École St. Patrick High School,62.46675253,-114.3726952
0312002639,312,C4456,101,119,MOYLE DR,,101,Residential,"189,320.00","6,770.00",0,2015,"196,090.00",2,Weledeh,École St. Patrick High School,62.46681411,-114.3728105
0312002638,312,C4456,204,121,MOYLE DR,,101,Residential,"170,850.00","6,770.00",0,2015,"177,620.00",2,Weledeh,École St. Patrick High School,62.46682562,-114.3726015
0312002637,312,C4456,203,121,MOYLE DR,,101,Residential,"170,890.00","6,770.00",0,2015,"177,660.00",2,Weledeh,École St. Patrick High School,62.46676419,-114.372494
0312002636,312,C4456,202,121,MOYLE DR,,101,Residential,"170,890.00","6,770.00",0,2015,"177,660.00",2,Weledeh,École St. Patrick High School,62.46688338,-114.3721986
0312002635,312,C4456,201,121,MOYLE DR,,101,Residential,"170,230.00","6,770.00",0,2015,"177,000.00",2,Weledeh,École St. Patrick High School,62.46695365,-114.3723336
0312002634,312,C4456,104,121,MOYLE DR,,101,Residential,"197,890.00","6,770.00",0,2015,"204,660.00",2,Weledeh,École St. Patrick High School,62.46685975,-114.3726473
0312002633,312,C4456,103,121,MOYLE DR,,101,Residential,"197,850.00","6,770.00",0,2015,"204,620.00",2,Weledeh,École St. Patrick High School,62.46678868,-114.3725329
0312002632,312,C4456,102,121,MOYLE DR,,101,Residential,"197,850.00","6,770.00",0,2015,"204,620.00",2,Weledeh,École St. Patrick High School,62.46691429,-114.3722627
0312002631,312,C4456,101,121,MOYLE DR,,101,Residential,"189,320.00","6,770.00",0,2015,"196,090.00",2,Weledeh,École St. Patrick High School,62.46697587,-114.3723779
0312002630,312,C4456,30,117,MOYLE DR,,101,Residential,"294,370.00","80,250.00",0,2015,"374,620.00",2,Weledeh,École St. Patrick High School,62.4670348,-114.3722249
0312002629,312,C4456,29,117,MOYLE DR,,101,Residential,"295,650.00","76,880.00",0,2015,"372,530.00",2,Weledeh,École St. Patrick High School,62.46708214,-114.3721195
0312002628,312,C4456,28,117,MOYLE DR,,101,Residential,"298,870.00","76,650.00",0,2015,"375,520.00",2,Weledeh,École St. Patrick High School,62.46711509,-114.3720434
0312002627,312,C4456,27,117,MOYLE DR,,101,Residential,"297,590.00","77,690.00",0,2015,"375,280.00",2,Weledeh,École St. Patrick High School,62.46715967,-114.3719233
0312002626,312,C4456,26,117,MOYLE DR,,101,Residential,"345,910.00","88,110.00",0,2015,"434,020.00",2,Weledeh,École St. Patrick High School,62.46733805,-114.3711293
0312002625,312,C4456,25,117,MOYLE DR,,101,Residential,"347,190.00","85,960.00",0,2015,"433,150.00",2,Weledeh,École St. Patrick High School,62.4674032,-114.3712022
0312002624,312,C4456,24,117,MOYLE DR,,101,Residential,"339,430.00","86,010.00",0,2015,"425,440.00",2,Weledeh,École St. Patrick High School,62.46744258,-114.3712558
0312002623,312,C4456,23,117,MOYLE DR,,101,Residential,"345,910.00","102,730.00",0,2015,"448,640.00",2,Weledeh,École St. Patrick High School,62.46750527,-114.3713299
0312002622,312,C4456,22,117,MOYLE DR,,101,Residential,"345,910.00","92,120.00",0,2015,"438,030.00",2,Weledeh,École St. Patrick High School,62.46757503,-114.3716736
0312002621,312,C4456,21,117,MOYLE DR,,101,Residential,"339,430.00","78,820.00",0,2015,"418,250.00",2,Weledeh,École St. Patrick High School,62.46756556,-114.3718058
0312002620,312,C4456,20,117,MOYLE DR,,101,Residential,"336,300.00","78,860.00",0,2015,"415,160.00",2,Weledeh,École St. Patrick High School,62.46755778,-114.3719216
0312002619,312,C4456,19,117,MOYLE DR,,101,Residential,"362,150.00","84,310.00",0,2015,"446,460.00",2,Weledeh,École St. Patrick High School,62.46754636,-114.3720561
0312002618,312,C4456,18,117,MOYLE DR,,101,Residential,"335,020.00","83,280.00",0,2015,"418,300.00",2,Weledeh,École St. Patrick High School,62.46748251,-114.3722641
0312002617,312,C4456,17,117,MOYLE DR,,101,Residential,"347,050.00","78,030.00",0,2015,"425,080.00",2,Weledeh,École St. Patrick High School,62.46744147,-114.3723603
0312002616,312,C4456,16,117,MOYLE DR,,101,Residential,"348,980.00","77,830.00",0,2015,"426,810.00",2,Weledeh,École St. Patrick High School,62.46739979,-114.372449
